session,task,run,subj,name,trial.type,load,numtrials,probe,iti,acc,rt,resp,cresp,time.cue.onset.abs,time.target.onset.abs,time.rt.abs,time.scan.start,trial.num,time.cue.onset,time.target.onset,time.rt,time.block1.on,time.block2.on,time.block3.on,time.block1.off,time.block2.off,time.block3.off,load01,load01.trial.type
baseline,Stern,1,107321,bas_ste_run1_107321,NP,5,3,syrup,4000,1,1767,2,2,144578,153378,155145,113754,1,30.824,39.624,41.391,28.424,256.421,484.417,228.021,456.031,684.028,LL5,LL5NP
baseline,Stern,1,107321,bas_ste_run1_107321,NN,8,2,scale,4000,1,995,1,1,158978,167777,168772,113754,2,45.224,54.023,55.018,28.424,256.421,484.417,228.021,456.031,684.028,not5,not5NN
baseline,Stern,1,107321,bas_ste_run1_107321,NN,8,2,doll,4000,1,1579,1,1,173377,182177,183756,113754,3,59.623,68.423,70.002,28.424,256.421,484.417,228.021,456.031,684.028,not5,not5NN
baseline,Stern,1,107321,bas_ste_run1_107321,NP,5,3,threat,1600,0,700,1,2,187777,196577,197277,113754,4,74.023,82.823,83.523,28.424,256.421,484.417,228.021,456.031,684.028,LL5,LL5NP
baseline,Stern,1,107321,bas_ste_run1_107321,NN,6,1,parrot,1600,1,926,1,1,199777,208577,209503,113754,5,86.023,94.823,95.749,28.424,256.421,484.417,228.021,456.031,684.028,not5,not5NN
baseline,Stern,1,107321,bas_ste_run1_107321,NP,8,2,chance,2800,1,1121,2,2,211777,220577,221698,113754,6,98.023,106.823,107.944,28.424,256.421,484.417,228.021,456.031,684.028,not5,not5NP
baseline,Stern,1,107321,bas_ste_run1_107321,NN,5,2,blur,2800,1,1094,1,1,224977,233777,234871,113754,7,111.223,120.023,121.117,28.424,256.421,484.417,228.021,456.031,684.028,LL5,LL5NN
baseline,Stern,1,107321,bas_ste_run1_107321,NP,7,2,rash,1600,1,881,2,2,238176,246976,247857,113754,8,124.422,133.222,134.103,28.424,256.421,484.417,228.021,456.031,684.028,not5,not5NP
baseline,Stern,1,107321,bas_ste_run1_107321,NN,5,2,tube,4000,1,526,1,1,250176,258976,259502,113754,9,136.422,145.222,145.748,28.424,256.421,484.417,228.021,456.031,684.028,LL5,LL5NN
baseline,Stern,1,107321,bas_ste_run1_107321,NP,5,3,share,2800,1,1224,2,2,264576,273376,274600,113754,10,150.822,159.622,160.846,28.424,256.421,484.417,228.021,456.031,684.028,LL5,LL5NP
baseline,Stern,1,107321,bas_ste_run1_107321,NP,7,2,wealth,1600,1,949,2,2,277776,286576,287525,113754,11,164.022,172.822,173.771,28.424,256.421,484.417,228.021,456.031,684.028,not5,not5NP
baseline,Stern,1,107321,bas_ste_run1_107321,NP,8,2,bush,1600,0,1257,1,2,289776,298576,299833,113754,12,176.022,184.822,186.079,28.424,256.421,484.417,228.021,456.031,684.028,not5,not5NP
baseline,Stern,1,107321,bas_ste_run1_107321,NN,7,1,straw,2800,1,814,1,1,301776,310575,311389,113754,13,188.022,196.821,197.635,28.424,256.421,484.417,228.021,456.031,684.028,not5,not5NN
