task,subj,baseline,proactive,reactive
Axcpt,107321,0.166666666666667,0.166666666666667,0.0625
Axcpt,115825,0.229166666666667,0.0416666666666667,0.770833333333333
Axcpt,123117,0.333333333333333,0.0208333333333333,-0.104166666666667
Axcpt,130114,0.145833333333333,0,0.0416666666666667
Axcpt,130518,0.1875,0.0833333333333333,-0.0208333333333333
Axcpt,132017,0.395833333333333,0.0833333333333333,0.229166666666667
Axcpt,135730,0.291666666666667,-0.0208333333333333,-0.0208333333333333
Axcpt,138837,-0.0208333333333333,0.0208333333333333,0.0625
Axcpt,141422,-0.0416666666666667,0.0833333333333333,0.0208333333333333
Axcpt,150423,0.0833333333333333,0.291666666666667,0.208333333333333
Axcpt,155938,0.375,0,0.0833333333333333
Axcpt,158136,0.25,0,0.25
Axcpt,160830,0.333333333333333,0.208333333333333,0.125
Axcpt,161832,0.0416666666666667,-0.125,0.208333333333333
Axcpt,165032,0.0833333333333333,0.0416666666666667,0.1875
Axcpt,173738,0.395833333333333,0.0833333333333333,0.0833333333333333
Axcpt,178243,0.333333333333333,0.291666666666667,0.729166666666667
Axcpt,178647,0.166666666666667,0.145833333333333,0.0833333333333333
Axcpt,178950,0.0833333333333333,0,0.0833333333333333
Axcpt,182436,0.333333333333333,0.0833333333333333,0.25
Axcpt,197449,0.145833333333333,0.458333333333333,0.395833333333333
Axcpt,203418,0.0833333333333333,0,-0.0208333333333333
Axcpt,204319,0.25,0.3125,-0.0416666666666667
Axcpt,300618,0.1875,0.145833333333333,0
Axcpt,317332,0.333333333333333,-0.0416666666666667,0.0625
Axcpt,346945,0.0833333333333333,0.145833333333333,-0.0208333333333333
Axcpt,393550,0.416666666666667,0.25,0.0833333333333333
Axcpt,448347,-0.125,-0.0208333333333333,-0.0208333333333333
Axcpt,562345,0.3125,0.479166666666667,0
Axcpt,580650,0.0833333333333333,0.0208333333333333,0.270833333333333
Axcpt,594156,0.3125,0.0625,0
Axcpt,601127,-0.0208333333333333,0.0833333333333333,0.375
Axcpt,672756,-0.0208333333333333,0.125,0.0833333333333333
Axcpt,765864,0.0416666666666667,0,0.0625
Axcpt,814649,0.0625,0.416666666666667,0
Axcpt,849971,0.0833333333333333,0,0
Axcpt,877168,0.229166666666667,0.354166666666667,0.104166666666667
Axcpt,DMCC1328342,0.291666666666667,0.0833333333333333,0.416666666666667
Axcpt,DMCC1596165,0.104166666666667,0.0208333333333333,0.479166666666667
Axcpt,DMCC1971064,0,0.1875,0.145833333333333
Axcpt,DMCC2442951,0.0625,-0.0416666666666667,0.0833333333333333
Axcpt,DMCC2609759,0.166666666666667,0,-0.0416666666666667
Axcpt,DMCC2803654,0.166666666666667,0,0
Axcpt,DMCC2834766,0.0416666666666667,0.0416666666666667,-0.0416666666666667
Axcpt,DMCC3062542,0,0,0.0833333333333333
Axcpt,DMCC3963378,0.333333333333333,0.25,0.145833333333333
Axcpt,DMCC4191255,0.0833333333333333,0,0
Axcpt,DMCC5195268,0,0,0
Axcpt,DMCC5775387,0.0625,0,0.0625
Axcpt,DMCC6418065,0,0,0
Axcpt,DMCC6484785,0.166666666666667,0.0833333333333333,0.0833333333333333
Axcpt,DMCC6627478,0.0833333333333333,0.125,0.0833333333333333
Axcpt,DMCC6671683,0.229166666666667,0.145833333333333,-0.104166666666667
Axcpt,DMCC6705371,0.0833333333333333,0,0
Axcpt,DMCC6721369,-0.0416666666666667,-0.0208333333333333,0.0625
Axcpt,DMCC7921988,0.0625,0,-0.0208333333333333
Axcpt,DMCC8050964,0,0,-0.0208333333333333
Axcpt,DMCC8078683,-0.0208333333333333,0.0625,0.166666666666667
Axcpt,DMCC8214059,0.125,0.125,0.291666666666667
Axcpt,DMCC8260571,0.0416666666666667,0.25,0.0208333333333333
Axcpt,DMCC9441378,-0.0416666666666667,0.166666666666667,0.0416666666666667
Axcpt,DMCC9478705,-0.0208333333333333,0.0416666666666667,-0.0416666666666667
Cuedts,107321,0.0357142857142857,-0.142857142857143,-0.0178571428571429
Cuedts,115825,-0.0535714285714286,0.0357142857142857,0.232142857142857
Cuedts,123117,0,-0.267857142857143,-0.25
Cuedts,130114,0.107142857142857,-0.125,0
Cuedts,130518,0.107142857142857,0.0357142857142857,0.0714285714285714
Cuedts,132017,0.0357142857142857,0,0
Cuedts,135730,0.392857142857143,0.178571428571429,0.0714285714285714
Cuedts,138837,-0.196428571428571,0.0357142857142857,-0.107142857142857
Cuedts,141422,0.0357142857142857,-0.125,0.0357142857142857
Cuedts,150423,0.0357142857142857,0.0357142857142857,0.0357142857142857
Cuedts,155938,0,0,0.0357142857142857
Cuedts,158136,0,0.107142857142857,0.0357142857142857
Cuedts,160830,0.0535714285714286,0.25,0.0892857142857143
Cuedts,161832,0.178571428571429,0,0
Cuedts,165032,0.0357142857142857,0.107142857142857,0.0357142857142857
Cuedts,173738,-0.125,0,0
Cuedts,178243,0.0892857142857143,0.321428571428571,0.0535714285714286
Cuedts,178647,0.0714285714285714,0.0714285714285714,-0.0892857142857143
Cuedts,178950,0,0.0357142857142857,0
Cuedts,182436,0.0357142857142857,0.107142857142857,0.0357142857142857
Cuedts,197449,0.339285714285714,0.0357142857142857,0
Cuedts,203418,0.0714285714285714,0.0714285714285714,0.0714285714285714
Cuedts,204319,0,-0.125,0
Cuedts,300618,0.0714285714285714,0.142857142857143,0
Cuedts,317332,0,-0.0178571428571429,0.0357142857142857
Cuedts,346945,0.214285714285714,0.107142857142857,-0.0178571428571429
Cuedts,393550,0,0.0357142857142857,0.0357142857142857
Cuedts,448347,0.0178571428571429,0.0357142857142857,0.107142857142857
Cuedts,562345,0.107142857142857,0.0357142857142857,0.107142857142857
Cuedts,580650,0,0,0.0714285714285714
Cuedts,594156,0.107142857142857,0.107142857142857,-0.0178571428571429
Cuedts,601127,0.142857142857143,-0.0535714285714286,0.0714285714285714
Cuedts,672756,0,0.0357142857142857,0.0357142857142857
Cuedts,765864,0.0714285714285714,0.0357142857142857,0.0357142857142857
Cuedts,814649,-0.0892857142857143,0,0.0714285714285714
Cuedts,849971,0.107142857142857,0,0
Cuedts,877168,0.0714285714285714,-0.178571428571429,0.107142857142857
Cuedts,DMCC1328342,0.428571428571429,0.0714285714285714,0.142857142857143
Cuedts,DMCC1596165,0.321428571428571,0.321428571428571,0.321428571428571
Cuedts,DMCC1971064,0.0357142857142857,0.0714285714285714,0.0357142857142857
Cuedts,DMCC2442951,0.0357142857142857,-0.25,0
Cuedts,DMCC2609759,0,-0.0892857142857143,0
Cuedts,DMCC2803654,0.0714285714285714,0,0
Cuedts,DMCC2834766,0.107142857142857,0.107142857142857,0
Cuedts,DMCC3062542,0.0714285714285714,0.0714285714285714,0.142857142857143
Cuedts,DMCC3963378,0,0.0714285714285714,0
Cuedts,DMCC4191255,0.0714285714285714,0,0.0357142857142857
Cuedts,DMCC5195268,0.0357142857142857,0.0357142857142857,0
