task,subj,baseline,proactive,reactive
Axcpt,107321,203.5,-6.84347826086957,179.555125725339
Axcpt,115825,-14.1859756097561,-18.5051282051282,-36.6764705882353
Axcpt,123117,42.0967741935484,20.3372093023256,140.24064171123
Axcpt,130114,121.5,76.2708333333333,143.80202020202
Axcpt,130518,207.055555555556,15.4468085106383,14.3838383838383
Axcpt,132017,470.812698412698,-19.0333333333333,112.355555555556
Axcpt,135730,337.335483870968,-3.7136363636364,180.540697674419
Axcpt,138837,64.6969696969697,41.5409090909091,43.3813953488372
Axcpt,141422,185.105555555556,69.2975609756098,176.025
Axcpt,150423,343.568181818182,255.310714285714,316.047619047619
Axcpt,155938,275.514285714286,65.6382575757576,204.883399209486
Axcpt,158136,101.298611111111,99.9583333333333,445.319444444444
Axcpt,160830,46.5357142857143,292.868421052632,396.231182795699
Axcpt,161832,147.987012987013,250.245098039216,113.968253968254
Axcpt,165032,67.1787234042553,23.1428571428572,21.1551724137931
Axcpt,173738,197,63.0154738878143,8.64418604651155
Axcpt,178243,520.8,97.7083333333334,226.764705882353
Axcpt,178647,162.388888888889,-5.32222222222225,146.477756286267
Axcpt,178950,217.443181818182,-24.5833333333334,124.8916827853
Axcpt,182436,59.3043478260869,-39.0486111111111,239.4
Axcpt,197449,,128.4,480.857894736842
Axcpt,203418,83.8875,28.25,62.0851063829787
Axcpt,204319,94.1891252955083,2.2560975609756,132.833333333333
Axcpt,300618,34.9145299145299,206.042857142857,44.45
Axcpt,317332,144.645833333333,36.3615384615384,185.950592885376
Axcpt,346945,-41.2208333333333,-74.8095238095238,168.121951219512
Axcpt,393550,-6.91489361702122,120.306763285024,187.13829787234
Axcpt,448347,28.6311688311688,90.8166666666666,162.643734643735
Axcpt,562345,194.656914893617,58.9964539007092,74.25
Axcpt,580650,343.092843326886,234.46875,126.4
Axcpt,594156,271.776595744681,294.327272727273,166.127777777778
Axcpt,601127,24.044289044289,89.6155303030303,344.408602150538
Axcpt,672756,16.3142292490119,-43.2820512820513,32.4772727272728
Axcpt,765864,105.692929292929,-21.9308510638298,92.1315280464216
Axcpt,814649,168.219638242894,62.25,244.282608695652
Axcpt,849971,206.310606060606,129.395833333333,332.22695035461
Axcpt,877168,195.396825396825,402.701219512195,428.351724137931
Axcpt,DMCC1328342,-12.6388888888889,-71.3346228239845,21.8869047619048
Axcpt,DMCC1596165,-37.4045454545454,-23.3055555555555,-42.9794871794872
Axcpt,DMCC1971064,128.379432624113,-69.5384615384616,221.277777777778
Axcpt,DMCC2442951,-2.2340425531915,25.5521064301552,175.700757575758
Axcpt,DMCC2609759,85.451536643026,30.0290135396518,204.069169960474
Axcpt,DMCC2803654,215.286956521739,14.9166666666667,102.727272727273
Axcpt,DMCC2834766,170.284848484849,-13.3396825396825,166.666666666667
Axcpt,DMCC3062542,97.5208333333333,-2.625,48.6391304347826
Axcpt,DMCC3963378,235.422872340426,28.48463356974,189.110638297872
Axcpt,DMCC4191255,57.9791666666667,13.0909090909091,180.0625
Axcpt,DMCC5195268,30.6249999999999,19.5416666666667,52.0833333333333
Axcpt,DMCC5775387,29.0618955512572,48.2198581560284,24.2166344294004
Axcpt,DMCC6418065,87.6458333333333,71.3125,63.0833333333334
Axcpt,DMCC6484785,573.278260869565,260.96170212766,341.674418604651
Axcpt,DMCC6627478,82.7408123791103,3.48475609756098,120.393939393939
Axcpt,DMCC6671683,134.669250645995,-7.52340425531918,105.164728682171
Axcpt,DMCC6705371,124.507575757576,51.7291666666667,179.638257575758
Axcpt,DMCC6721369,10.1777777777778,-49.1719858156029,133.512765957447
Axcpt,DMCC7921988,305.152173913044,58.9864603481624,130.95652173913
Axcpt,DMCC8050964,169.083333333333,46.6666666666667,117.463768115942
Axcpt,DMCC8078683,300.007092198582,217.602127659574,271.134042553192
Axcpt,DMCC8214059,23.45,10.3972222222222,69.5434782608696
Axcpt,DMCC8260571,44.0444444444444,27.6470588235294,137.772727272727
Axcpt,DMCC9441378,168.725,-123.678571428571,200.828205128205
Axcpt,DMCC9478705,147.242753623188,-9.84040404040405,124.409420289855
Cuedts,107321,70.5673076923076,-4.75999999999999,127.331428571429
Cuedts,115825,146.8,104.74537037037,-68.9206349206349
Cuedts,123117,-229.119047619048,87.64,28.2738095238096
Cuedts,130114,-233.47,-12.6071428571428,75.75
Cuedts,130518,308.5,193.199074074074,358.307692307692
Cuedts,132017,60.5509259259259,210.196428571429,-48.8888888888889
Cuedts,135730,186.5625,120.119565217391,215.375
Cuedts,138837,227.29347826087,29.5138888888889,58.4583333333333
Cuedts,141422,34.615,48.6428571428571,151.856481481482
Cuedts,150423,-27.2211538461538,59.875,-50.3796296296296
Cuedts,155938,-219.75,-120.517857142857,-210.717592592593
Cuedts,158136,48.4285714285715,77.405,-24.1157407407408
Cuedts,160830,106.355072463768,208.357142857143,265.668831168831
Cuedts,161832,-206.325,-141.160714285714,-165.142857142857
Cuedts,165032,56.800925925926,31.485,-36.9212962962963
Cuedts,173738,18.25,-118.035714285714,-150.017857142857
Cuedts,178243,-151.909090909091,168.710526315789,-145.944099378882
Cuedts,178647,-103.240384615385,-146.817307692308,65.3015873015872
Cuedts,178950,54.6071428571429,104.064814814815,52.4107142857142
Cuedts,182436,-123.023148148148,-70.79,24.0046296296296
Cuedts,197449,315.475,-199.259259259259,210.410714285714
Cuedts,203418,42.6442307692307,3.29807692307691,16.5480769230769
Cuedts,204319,-20.0178571428571,20.9285714285713,43.6785714285714
Cuedts,300618,18.0192307692307,25.0833333333334,74.8035714285714
Cuedts,317332,164.607142857143,-9.50285714285712,318.45054945055
Cuedts,346945,-203.375,94.525,206.205714285714
Cuedts,393550,-92.7321428571429,-126.057692307692,-194.796296296296
Cuedts,448347,101.97619047619,-88.9398148148148,157.065
Cuedts,562345,171.48,34.050925925926,-103.25
Cuedts,580650,168.339285714286,121.732142857143,221.644230769231
Cuedts,594156,-266.041666666667,172.541666666667,-92.52
Cuedts,601127,23.4935064935066,88.10989010989,319.769230769231
Cuedts,672756,-145.660714285714,-224.74537037037,103.444444444444
Cuedts,765864,90.2211538461538,65.7083333333334,189.393518518519
Cuedts,814649,67.2328042328043,130.267857142857,90.2307692307693
Cuedts,849971,-147.455,-9.10714285714289,-85.3571428571429
Cuedts,877168,166.545,-44,285.26
Cuedts,DMCC1328342,16.5625,29.6538461538462,68.4166666666666
Cuedts,DMCC1596165,246.269736842105,19.6973684210526,304.638157894737
Cuedts,DMCC1971064,-257.096153846154,72.4519230769231,156.833333333333
Cuedts,DMCC2442951,189.226851851852,126.488095238095,-125.125
Cuedts,DMCC2609759,105.642857142857,114.62962962963,-131.285714285714
Cuedts,DMCC2803654,0.278846153846189,74.125,-62.625
Cuedts,DMCC2834766,-174.86,164.166666666667,113.583333333333
Cuedts,DMCC3062542,-22.6346153846155,117.192307692308,195.833333333333
